0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
10,0,5
17,3,1
35,3,3
34,2,6
34,4,8
38,5,10
61,11,13
50,9,14
52,11,6
47,24,6
53,18,7
32,11,7
39,17,8
30,19,4
30,17,10
16,19,5
20,22,3
13,26,3
10,31,1
4,33,2
10,24,1
8,22,2
2,23,2
4,19,5
9,19,0
1,21,0
1,26,0
2,24,0
3,15,0
0,18,0
5,22,0
0,32,0
0,11,0
0,27,0
0,17,0
0,26,0
0,25,0
0,22,0
0,18,0
0,13,0
0,16,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
